source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON 210701 330 WaSOP1 3um R1,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,1,10,0.2,3-200,3,200,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,2021-10-05 00:00:00,2021-10-08 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,,EMOBON_BPNS_Wa_1
EMOBON 210701 330 WaSOP1 3um R2,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,2,10,0.2,3-200,3,200,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,2021-10-05 00:00:00,2021-10-08 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,,EMOBON_BPNS_Wa_2
EMOBON 210701 330 WaSOP1 3um R3,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,3,10,0.2,3-200,3,200,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_Wa_3
EMOBON 210701 330 WaSOP1 3um R4,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,4,10,0.2,3-200,3,200,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_Wa_4
EMOBON 210701 330 WaSOP1 3um Blank,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,NA,,NA,blank_1,10,0.033333,3-200,3,200,N,NA,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_Wa_5
EMOBON 210701 330 WaSOP1 0.2um R2,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,2,10,0.2,0.2-3,0.2,3,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,2021-10-05 00:00:00,2021-10-08 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,,EMOBON_BPNS_Wa_6
EMOBON 210701 330 WaSOP1 0.2um R1,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,1,10,0.2,0.2-3,0.2,3,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,2021-10-05 00:00:00,2021-10-08 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,,EMOBON_BPNS_Wa_7
EMOBON 210701 330 WaSOP1 0.2um R3,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,3,10,0.2,0.2-3,0.2,3,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_Wa_8
EMOBON 210701 330 WaSOP1 0.2um R4,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,,20.54,4,10,0.2,0.2-3,0.2,3,Y,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_Wa_9
EMOBON 210701 330 WaSOP1 0.2um Blank,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-07-01 00:00:00,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,NA,,NA,blank_1,10,0.033333,0.2-3,0.2,3,N,NA,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01 14:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_Wa_10
