event_id,source_mat_id,ena_accession_number_run_metag
BPNS_So_210726,EMOBON_BPNS_So_5,ERR13955095
BPNS_So_210726,EMOBON_BPNS_So_6,ERR13955096
BPNS_So_210825,EMOBON_BPNS_So_13,ERR13955097
NRMCB_So_210621,EMOBON_NRMCB_So_1,ERR13954860
NRMCB_So_210621,EMOBON_NRMCB_So_2,ERR13954861
NRMCB_So_210831,EMOBON_NRMCB_So_6,ERR13954862
NRMCB_So_210831,EMOBON_NRMCB_So_7,ERR13954863
NRMCB_So_210831,EMOBON_NRMCB_So_10,ERR13954864
OOB_So_210608,EMOBON_OOB_So_1,ERR13954264
RFormosa_So_210805,EMOBON_RFormosa_So_1,ERR13954642
RFormosa_So_210805,EMOBON_RFormosa_So_2,ERR13954643
ROSKOGO_So_210826,EMOBON_ROSKOGO_So_1,ERR13954819
ROSKOGO_So_210826,EMOBON_ROSKOGO_So_2,ERR13954820
AAOT_Wa_210622,EMOBON_AAOT_Wa_6,ERR13954267
AAOT_Wa_210622,EMOBON_AAOT_Wa_7,ERR13954268
AAOT_Wa_210622,EMOBON_AAOT_Wa_1,ERR13954265
AAOT_Wa_210622,EMOBON_AAOT_Wa_2,ERR13954266
AAOT_Wa_210809,EMOBON_AAOT_Wa_26,ERR13954270
AAOT_Wa_210809,EMOBON_AAOT_Wa_27,ERR13954271
AAOT_Wa_210809,EMOBON_AAOT_Wa_22,ERR13954269
BPNS_Wa_210701,EMOBON_BPNS_Wa_7,ERR13955089
BPNS_Wa_210701,EMOBON_BPNS_Wa_6,ERR13955090
BPNS_Wa_210701,EMOBON_BPNS_Wa_1,ERR13955087
BPNS_Wa_210701,EMOBON_BPNS_Wa_2,ERR13955088
BPNS_Wa_210825,EMOBON_BPNS_Wa_26,ERR13955093
BPNS_Wa_210825,EMOBON_BPNS_Wa_27,ERR13955094
BPNS_Wa_210825,EMOBON_BPNS_Wa_21,ERR13955091
BPNS_Wa_210825,EMOBON_BPNS_Wa_22,ERR13955092
